,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,76.032992,P76270,Free methionine-R-sulfoxide reductase,Escherichia coli (strain K12) OX=83333,1.0,MNXR145593,MNXR145591_0.7655706270045919_0.7570298464754437|MNXR151716_0.6835365551469959_0.6472385917415967|MNXR151717_0.6835365551469959_0.6472385917415967,1.8.4.13;1.8.4.14;1.8.4.5,1.0,0.0,0.78563,0.757030,1,0.771329,-,-,-,-,18121.63,4.4242,42.424,*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O.CS(=O)CC[C@H](N)C(=O)O>>*N[C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O.CSCC[C@H]([NH3+])C(=O)[O-].[H]O[H],CSCC[C@H]([NH3+])C(=O)[O-].[*][NH2+][C@H]1CSSC[C@@H](C([*])=O)NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC1=O>>CS(=O)CC[C@H](N)C(=O)O.[*]N[C@@H](CS)C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](CS)C([*])=O
2,76.032992,P20099,Biotin sulfoxide reductase,Escherichia coli (strain K12) OX=83333,1.0,MNXR145593,MNXR145591_0.7655706270045919_0.7570298464754437,1.8.4.13;1.8.4.14;1.8.4.5,1.0,0.0,0.78563,0.757030,1,0.771329,-,-,-,-,85850.66,5.8077,43.115,*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O.CS(=O)CC[C@H](N)C(=O)O>>*N[C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O.CSCC[C@H]([NH3+])C(=O)[O-].[H]O[H],CSCC[C@H]([NH3+])C(=O)[O-].[*][NH2+][C@H]1CSSC[C@@H](C([*])=O)NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC1=O>>CS(=O)CC[C@H](N)C(=O)O.[*]N[C@@H](CS)C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](CS)C([*])=O
3,65.438930,P0A744,Peptide methionine sulfoxide reductase MsrA,Escherichia coli (strain K12) OX=83333,1.0,MNXR151915,-,1.8.4.11;1.8.4.13,1.0,0.0,0.68354,0.647239,1,0.665388,32.7,24.5,23.0,28.1,23315.03,4.8240,40.094,*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O.CS(=O)CC[C@H](N)C(=O)O>>*N[C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O.CSCC[C@H]([NH3+])C(=O)[O-].[H]O[H],CSCC[C@H]([NH3+])C(=O)[O-].[*]N[C@H]1CSSC[C@@H](C([*])=O)NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC1=O>>[*]N[C@@H](CS)C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](CS)C([*])=O.C[S@](=O)CC[C@H]([NH3+])C(=O)[O-]
14,60.238930,P0A745,Peptide methionine sulfoxide reductase MsrA,Shigella flexneri OX=623,6.0,MNXR151915,-,1.8.4.11;1.8.4.13,3.0,0.0,0.68354,0.647239,1,0.665388,-,-,-,-,23315.03,4.8240,40.094,*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O.CS(=O)CC[C@H](N)C(=O)O>>*N[C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O.CSCC[C@H]([NH3+])C(=O)[O-].[H]O[H],CSCC[C@H]([NH3+])C(=O)[O-].[*]N[C@H]1CSSC[C@@H](C([*])=O)NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC1=O>>[*]N[C@@H](CS)C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](CS)C([*])=O.C[S@](=O)CC[C@H]([NH3+])C(=O)[O-]
15,59.238930,B2TZL3,Peptide methionine sulfoxide reductase MsrA,Shigella boydii serotype 18 (strain CDC 3083-94 / BS512) OX=344609,7.0,MNXR151915,-,1.8.4.11;1.8.4.13,3.0,0.0,0.68354,0.647239,1,0.665388,-,-,-,-,23245.93,4.6900,40.094,*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O.CS(=O)CC[C@H](N)C(=O)O>>*N[C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O.CSCC[C@H]([NH3+])C(=O)[O-].[H]O[H],CSCC[C@H]([NH3+])C(=O)[O-].[*]N[C@H]1CSSC[C@@H](C([*])=O)NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC1=O>>[*]N[C@@H](CS)C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](CS)C([*])=O.C[S@](=O)CC[C@H]([NH3+])C(=O)[O-]
16,59.238930,A7MM56,Peptide methionine sulfoxide reductase MsrA,Cronobacter sakazakii (strain ATCC BAA-894) OX=290339,7.0,MNXR151915,-,1.8.4.11;1.8.4.13,3.0,0.0,0.68354,0.647239,1,0.665388,-,-,-,-,23511.39,4.8823,39.623,*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O.CS(=O)CC[C@H](N)C(=O)O>>*N[C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O.CSCC[C@H]([NH3+])C(=O)[O-].[H]O[H],CSCC[C@H]([NH3+])C(=O)[O-].[*]N[C@H]1CSSC[C@@H](C([*])=O)NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC1=O>>[*]N[C@@H](CS)C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](CS)C([*])=O.C[S@](=O)CC[C@H]([NH3+])C(=O)[O-]
17,59.238930,A4W5V5,Peptide methionine sulfoxide reductase MsrA,Enterobacter sp. (strain 638) OX=399742,7.0,MNXR151915,-,1.8.4.11;1.8.4.13,3.0,0.0,0.68354,0.647239,1,0.665388,29.4,28.9,21.3,28.4,23478.21,5.1730,41.315,*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O.CS(=O)CC[C@H](N)C(=O)O>>*N[C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O.CSCC[C@H]([NH3+])C(=O)[O-].[H]O[H],CSCC[C@H]([NH3+])C(=O)[O-].[*]N[C@H]1CSSC[C@@H](C([*])=O)NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC1=O>>[*]N[C@@H](CS)C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](CS)C([*])=O.C[S@](=O)CC[C@H]([NH3+])C(=O)[O-]
18,58.238930,Q0SXG5,Peptide methionine sulfoxide reductase MsrA,Shigella flexneri serotype 5b (strain 8401) OX=373384,8.0,MNXR151915,-,1.8.4.11;1.8.4.13,3.0,0.0,0.68354,0.647239,1,0.665388,32.7,24.5,23.0,28.1,23315.03,4.8240,40.094,*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O.CS(=O)CC[C@H](N)C(=O)O>>*N[C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O.CSCC[C@H]([NH3+])C(=O)[O-].[H]O[H],CSCC[C@H]([NH3+])C(=O)[O-].[*]N[C@H]1CSSC[C@@H](C([*])=O)NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC1=O>>[*]N[C@@H](CS)C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](CS)C([*])=O.C[S@](=O)CC[C@H]([NH3+])C(=O)[O-]
19,58.238930,A9MEZ2,Peptide methionine sulfoxide reductase MsrA,Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980) OX=41514,8.0,MNXR151915,-,1.8.4.11;1.8.4.13,3.0,0.0,0.68354,0.647239,1,0.665388,-,-,-,-,23374.06,5.4481,40.566,*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O.CS(=O)CC[C@H](N)C(=O)O>>*N[C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O.CSCC[C@H]([NH3+])C(=O)[O-].[H]O[H],CSCC[C@H]([NH3+])C(=O)[O-].[*]N[C@H]1CSSC[C@@H](C([*])=O)NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC1=O>>[*]N[C@@H](CS)C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](CS)C([*])=O.C[S@](=O)CC[C@H]([NH3+])C(=O)[O-]
20,58.238930,B5Y2Y3,Peptide methionine sulfoxide reductase MsrA,Klebsiella pneumoniae (strain 342) OX=507522,8.0,MNXR151915,-,1.8.4.11;1.8.4.13,3.0,0.0,0.68354,0.647239,1,0.665388,-,-,-,-,23180.01,6.3333,40.284,*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O.CS(=O)CC[C@H](N)C(=O)O>>*N[C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O.CSCC[C@H]([NH3+])C(=O)[O-].[H]O[H],CSCC[C@H]([NH3+])C(=O)[O-].[*]N[C@H]1CSSC[C@@H](C([*])=O)NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC1=O>>[*]N[C@@H](CS)C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](CS)C([*])=O.C[S@](=O)CC[C@H]([NH3+])C(=O)[O-]
21,58.238930,Q8Z150,Peptide methionine sulfoxide reductase MsrA,Salmonella typhi OX=90370,8.0,MNXR151915,-,1.8.4.11;1.8.4.13,3.0,0.0,0.68354,0.647239,1,0.665388,-,-,-,-,23436.18,6.1034,40.566,*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O.CS(=O)CC[C@H](N)C(=O)O>>*N[C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O.CSCC[C@H]([NH3+])C(=O)[O-].[H]O[H],CSCC[C@H]([NH3+])C(=O)[O-].[*]N[C@H]1CSSC[C@@H](C([*])=O)NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC1=O>>[*]N[C@@H](CS)C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](CS)C([*])=O.C[S@](=O)CC[C@H]([NH3+])C(=O)[O-]
22,57.238930,B4TT49,Peptide methionine sulfoxide reductase MsrA,Salmonella schwarzengrund (strain CVM19633) OX=439843,9.0,MNXR151915,-,1.8.4.11;1.8.4.13,3.0,0.0,0.68354,0.647239,1,0.665388,33.7,24.0,20.4,30.1,23450.25,6.2708,40.566,*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O.CS(=O)CC[C@H](N)C(=O)O>>*N[C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O.CSCC[C@H]([NH3+])C(=O)[O-].[H]O[H],CSCC[C@H]([NH3+])C(=O)[O-].[*]N[C@H]1CSSC[C@@H](C([*])=O)NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC1=O>>[*]N[C@@H](CS)C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](CS)C([*])=O.C[S@](=O)CC[C@H]([NH3+])C(=O)[O-]
23,57.238930,B5F3D4,Peptide methionine sulfoxide reductase MsrA,Salmonella agona (strain SL483) OX=454166,9.0,MNXR151915,-,1.8.4.11;1.8.4.13,3.0,0.0,0.68354,0.647239,1,0.665388,33.2,23.0,20.9,31.1,23420.19,6.1034,40.094,*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O.CS(=O)CC[C@H](N)C(=O)O>>*N[C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O.CSCC[C@H]([NH3+])C(=O)[O-].[H]O[H],CSCC[C@H]([NH3+])C(=O)[O-].[*]N[C@H]1CSSC[C@@H](C([*])=O)NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC1=O>>[*]N[C@@H](CS)C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](CS)C([*])=O.C[S@](=O)CC[C@H]([NH3+])C(=O)[O-]
24,57.238930,B5R0T7,Peptide methionine sulfoxide reductase MsrA,Salmonella enteritidis PT4 (strain P125109) OX=550537,9.0,MNXR151915,-,1.8.4.11;1.8.4.13,3.0,0.0,0.68354,0.647239,1,0.665388,33.2,23.0,20.9,31.1,23436.18,6.1034,40.566,*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O.CS(=O)CC[C@H](N)C(=O)O>>*N[C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O.CSCC[C@H]([NH3+])C(=O)[O-].[H]O[H],CSCC[C@H]([NH3+])C(=O)[O-].[*]N[C@H]1CSSC[C@@H](C([*])=O)NC(=O)[C@H]([*])NC(=O)[C@H]([*])NC1=O>>[*]N[C@@H](CS)C(=O)N[C@@H]([*])C(=O)N[C@@H]([*])C(=O)N[C@@H](CS)C([*])=O.C[S@](=O)CC[C@H]([NH3+])C(=O)[O-]
